Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Kathleen Kitzmann B.Sc.,37,EC-Karte,20.99,3,07.03.2022,16:43:14
Claudio Schulz,58,Bar,33.99,4,07.03.2022,16:57:33
Univ.Prof. Dennis Geisel,52,Bar,50.99,1,07.03.2022,17:57:45
Julius Heß B.Eng.,58,Bar,46.99,3,07.03.2022,18:23:29
Wibke Eimer-Scholtz,61,Kreditkarte,36.99,4,07.03.2022,18:37:01
Hans-Michael Schäfer,63,Bar,50.99,5,07.03.2022,18:50:26
Ing. Falk Hofmann,53,Kreditkarte,43.99,3,07.03.2022,19:20:36
Hülya Hofmann,19,EC-Karte,9.99,8,07.03.2022,19:24:07
Prof. Ljudmila Köster,56,Kreditkarte,41.99,3,08.03.2022,10:47:27
Dr. Arnold Faust,57,Kreditkarte,36.99,2,08.03.2022,11:09:24
Charles Weinhold B.Sc.,25,Kreditkarte,13.99,3,08.03.2022,11:12:33
Amelie Steckel,49,Kreditkarte,37.99,6,08.03.2022,11:31:08
Dipl.-Ing. Raymund Hentschel,59,Kreditkarte,50.99,5,08.03.2022,11:38:39
Dipl.-Ing. Reinald Kroker MBA.,60,Bar,51.99,3,08.03.2022,12:07:11
Imke Söding-Hecker,25,Bar,20.99,1,08.03.2022,12:46:52
Zenon Butte,67,EC-Karte,37.99,1,08.03.2022,13:02:14
Dipl.-Ing. Gunnar Spieß,65,Kreditkarte,45.99,2,08.03.2022,13:30:04
Nermin Krebs-Blümel,55,EC-Karte,32.99,5,08.03.2022,13:53:58
Käthe Rosemann,30,EC-Karte,16.99,3,08.03.2022,14:23:17
Maria-Luise Mälzer,48,Bar,45.99,7,08.03.2022,14:25:33
Dipl.-Ing. Mathias Wagenknecht,55,Bar,34.99,5,08.03.2022,14:48:39
Bernfried Killer,56,EC-Karte,32.99,4,08.03.2022,15:30:01
Univ.Prof. Hedwig Otto,29,Kreditkarte,15.99,4,08.03.2022,15:47:46
Iwan Becker,55,Bar,48.99,8,08.03.2022,15:50:42
Hans Jürgen Mosemann,37,Kreditkarte,19.99,3,08.03.2022,16:01:05
Hendrik Heidrich,63,Kreditkarte,43.99,7,08.03.2022,16:15:07
Erica Mentzel,21,Kreditkarte,15.99,3,08.03.2022,16:16:49
Melitta Bachmann MBA.,52,Kreditkarte,42.99,3,08.03.2022,16:20:49
David Ladeck,62,EC-Karte,28.99,6,08.03.2022,16:24:30
Harro Wernecke MBA.,25,Bar,20.99,4,08.03.2022,16:46:58
Dipl.-Ing. Catherine Stahr B.Sc.,49,Bar,28.99,7,08.03.2022,16:58:36
Prof. Dorit Christoph B.Sc.,52,EC-Karte,31.99,6,08.03.2022,17:29:14
Univ.Prof. Brita Stroh B.Eng.,54,Bar,34.99,5,08.03.2022,17:31:23
Erik Weinhage,27,Kreditkarte,17.99,1,08.03.2022,18:32:55
Alfons Kostolzin,56,Bar,42.99,3,08.03.2022,18:45:20
Ing. Hans-Theo Beyer,58,EC-Karte,35.99,9,09.03.2022,10:29:58
Herr Jann Rohleder,56,EC-Karte,41.99,8,09.03.2022,10:44:30
Arndt Schacht B.A.,66,Bar,47.99,3,09.03.2022,11:19:05
Ing. Marlis Beier MBA.,41,Kreditkarte,32.99,4,09.03.2022,11:38:46
Ing. Michaele Klotz,48,Bar,42.99,6,09.03.2022,11:51:02
Herr Torsten Ring,55,Kreditkarte,36.99,4,09.03.2022,12:03:33
Prof. Madeleine Nerger B.Eng.,31,Kreditkarte,19.99,1,09.03.2022,12:51:30
Piotr Otto,59,EC-Karte,38.99,2,09.03.2022,13:51:14
Herr Heinz-Wilhelm Hauffer B.Eng.,55,Kreditkarte,39.99,2,09.03.2022,14:24:46
Zdravko Wiek,62,Bar,28.99,4,09.03.2022,14:58:24
Dr. Dunja Hänel B.Sc.,38,Bar,23.99,1,09.03.2022,15:14:27
Milan Geißler-Hauffer,52,EC-Karte,37.99,8,09.03.2022,15:19:36
Harriet Freudenberger,27,EC-Karte,12.99,2,09.03.2022,15:23:43
Trude Jessel,65,Kreditkarte,55.99,2,09.03.2022,15:33:55
Kenneth Säuberlich,66,Bar,38.99,3,09.03.2022,15:50:08
Meinolf Bohlander,67,Bar,40.99,3,09.03.2022,15:59:02
Marika Hartmann,60,Kreditkarte,42.99,7,09.03.2022,16:18:49
Eleonora Beckmann B.Sc.,61,Bar,44.99,4,09.03.2022,16:31:21
Dipl.-Ing. Elif Schuchhardt,43,Bar,41.99,8,09.03.2022,16:36:17
Anja Otto,37,Kreditkarte,17.99,3,09.03.2022,17:00:55
Catharina Putz-Jessel,62,Kreditkarte,45.99,4,09.03.2022,17:07:11
Heinz-Günther Hethur,51,Kreditkarte,40.99,4,09.03.2022,17:12:20
Imelda Etzold-Junitz,53,Kreditkarte,37.99,6,09.03.2022,17:15:11
Thilo Koch,55,Bar,36.99,3,09.03.2022,18:12:52
Erica Neuschäfer,47,EC-Karte,35.99,5,09.03.2022,19:08:40
Bayram Gunpf-Gotthard,60,EC-Karte,46.99,5,09.03.2022,19:12:36
Univ.Prof. Gerlinde Hamann,32,EC-Karte,15.99,2,09.03.2022,19:30:27
Nurten Weimer MBA.,58,Bar,66.99,4,10.03.2022,10:19:02
Isidor Koch II,64,Kreditkarte,41.99,4,10.03.2022,10:49:08
Ing. Trudel Peukert,62,EC-Karte,36.99,8,10.03.2022,11:42:30
Nicolaus Kade,56,EC-Karte,40.99,5,10.03.2022,12:03:18
Dr. Dunja Schmiedt B.Sc.,36,Bar,13.99,2,10.03.2022,12:47:37
Sofia Warmer,75,Kreditkarte,36.99,1,10.03.2022,12:57:43
Mathilde Henk-Berger,59,Bar,44.99,7,10.03.2022,13:13:59
Dörthe Weihmann-Döhn,59,Bar,34.99,3,10.03.2022,13:36:56
Elisabeth Wende,59,Bar,46.99,4,10.03.2022,13:43:24
Univ.Prof. Pascal Haase B.Sc.,34,EC-Karte,19.99,5,10.03.2022,13:57:34
Heike Jüttner-Löchel,53,Bar,42.99,7,10.03.2022,14:18:49
Alwina Jähn,30,EC-Karte,17.99,2,10.03.2022,14:19:33
Agata Wesack,67,EC-Karte,40.99,4,10.03.2022,14:23:05
Dr. Ida Hering B.A.,22,Kreditkarte,20.99,5,10.03.2022,15:14:46
Tadeusz Kallert,53,Bar,40.99,3,10.03.2022,15:30:11
Elwira Henk-Juncken,27,EC-Karte,21.99,3,10.03.2022,15:45:43
Herr Dominik Hellwig,55,EC-Karte,26.99,6,10.03.2022,16:12:08
Angelina Bähr B.Sc.,63,Kreditkarte,50.99,6,10.03.2022,16:12:27
Donata Schmiedecke,58,Kreditkarte,37.99,5,10.03.2022,16:36:24
Dr. Remo Seifert,58,Kreditkarte,34.99,3,10.03.2022,16:43:18
Dorit Wilmsen,32,Kreditkarte,20.99,3,10.03.2022,17:03:49
Anja Sölzer,45,EC-Karte,39.99,5,10.03.2022,17:19:15
Danilo Wagenknecht,38,Bar,20.99,2,10.03.2022,17:25:52
Luka Ring,58,Bar,44.99,9,10.03.2022,17:37:21
Artur Reichmann,37,Kreditkarte,27.99,2,10.03.2022,17:56:53
Ekkehart Eigenwillig,55,Bar,36.99,5,10.03.2022,18:56:40
Prof. Teresa Lübs B.Eng.,63,EC-Karte,42.99,5,10.03.2022,19:02:59
Stjepan Linke,22,Bar,17.99,6,10.03.2022,19:39:15
Cindy Junken B.Eng.,51,EC-Karte,25.99,2,11.03.2022,10:01:27
Jadwiga Walter,65,Bar,50.99,3,11.03.2022,10:22:02
Dunja Schleich,32,Kreditkarte,18.99,4,11.03.2022,10:47:56
Kemal Mitschke-Wagenknecht,25,EC-Karte,21.99,1,11.03.2022,11:03:46
Dogan Boucsein,58,EC-Karte,39.99,5,11.03.2022,11:22:18
Prof. Andrzej Girschner MBA.,49,Kreditkarte,48.99,5,11.03.2022,11:29:31
Reinhardt Davids MBA.,36,Bar,16.99,6,11.03.2022,12:53:56
Cornelius Speer,62,Bar,44.99,3,11.03.2022,13:49:05
Prof. Gebhard Hornich B.Sc.,56,EC-Karte,38.99,2,11.03.2022,13:55:50
Mattias Rörricht B.Sc.,41,Bar,31.99,8,11.03.2022,14:24:47
Fritz Bähr,66,EC-Karte,45.99,4,11.03.2022,15:13:15
Andrey Trupp,54,Kreditkarte,33.99,7,11.03.2022,15:13:37
Valeska Wagenknecht-Nerger,66,Bar,37.99,2,11.03.2022,15:19:43
Benjamin Aumann,49,Bar,45.99,5,11.03.2022,15:23:05
Fanny Junck,58,Bar,34.99,1,11.03.2022,15:26:31
Gönül Drewes,47,Kreditkarte,30.99,4,11.03.2022,15:48:40
Albert Zobel,58,Bar,42.99,4,11.03.2022,16:08:53
Gloria Heintze,69,Kreditkarte,36.99,6,11.03.2022,16:12:34
Jan Zimmer B.Eng.,47,Kreditkarte,36.99,3,11.03.2022,17:15:12
Minna Hübel,53,Kreditkarte,41.99,11,11.03.2022,17:16:12
Dipl.-Ing. Christiana Scholtz B.A.,63,EC-Karte,30.99,3,11.03.2022,17:46:24
Sylvio Wesack,41,Kreditkarte,39.99,8,11.03.2022,18:00:37
Sönke Faust,31,Kreditkarte,22.99,2,11.03.2022,18:06:40
Univ.Prof. Slobodan Dobes B.A.,55,EC-Karte,34.99,6,11.03.2022,18:18:59
Alban Stiffel,53,Kreditkarte,48.99,6,11.03.2022,18:50:21
Türkan Tintzmann,25,Bar,19.99,2,11.03.2022,19:17:09
Antonia Noack MBA.,71,Kreditkarte,34.99,6,11.03.2022,19:32:21
Uli Trüb,60,EC-Karte,37.99,3,12.03.2022,10:04:34
Fred Vogt,58,Bar,27.99,4,12.03.2022,11:29:15
Ralf Lübs,50,EC-Karte,36.99,8,12.03.2022,11:45:18
Frau Agnes Schleich MBA.,75,EC-Karte,53.99,3,12.03.2022,12:02:09
Leokadia Austermühle,54,Kreditkarte,48.99,7,12.03.2022,12:08:40
Mareike Hörle B.Sc.,21,EC-Karte,19.99,3,12.03.2022,13:03:53
Samuel Ebert,64,EC-Karte,43.99,6,12.03.2022,13:12:18
Heinz-Günter Junck,54,Kreditkarte,52.99,4,12.03.2022,13:55:09
Urte Klotz-Steinberg,53,Bar,48.99,3,12.03.2022,14:03:34
Univ.Prof. Margitta Klemm B.A.,56,EC-Karte,34.99,4,12.03.2022,14:08:37
Prof. Traudel Kusch,27,Kreditkarte,17.99,2,12.03.2022,14:18:44
Ing. Gotthard Sager,27,Bar,22.99,6,12.03.2022,14:40:59
Giorgio Mielcarek,58,EC-Karte,45.99,6,12.03.2022,15:31:44
Ing. Rebekka Köster B.Eng.,27,EC-Karte,19.99,4,12.03.2022,16:05:00
Hans-Jörg Reinhardt-Klotz,55,Bar,42.99,4,12.03.2022,16:14:22
Univ.Prof. Julian Knappe B.A.,53,EC-Karte,40.99,8,12.03.2022,16:30:31
Katherina Paffrath,43,Bar,44.99,5,12.03.2022,16:31:28
Diane Scheel,56,Bar,39.99,7,12.03.2022,17:22:47
Stavros Ullrich-Baum,63,Kreditkarte,43.99,2,12.03.2022,18:07:53
Margit Drub-Becker,31,Kreditkarte,18.99,3,12.03.2022,18:10:12
Frau Janina Keudel B.Sc.,58,Kreditkarte,33.99,3,12.03.2022,18:11:25
Prof. Juergen Atzler,28,Bar,17.99,3,12.03.2022,18:12:06
Univ.Prof. Ilona Eberth B.A.,57,EC-Karte,38.99,8,12.03.2022,18:26:25
Pius Höfig,52,Bar,52.99,9,12.03.2022,18:30:02
Rudi Schaaf,21,Kreditkarte,21.99,2,12.03.2022,18:38:28
Sebastian Butte,28,Bar,25.99,5,12.03.2022,19:02:03
Agnes Mielcarek,60,EC-Karte,46.99,7,12.03.2022,19:07:50
Inka Fröhlich,61,Kreditkarte,44.99,7,12.03.2022,19:37:56
Antonina Albers B.Sc.,69,Kreditkarte,42.99,6,13.03.2022,10:03:12
Stefania Nerger,57,EC-Karte,43.99,3,13.03.2022,10:46:44
Dennis Pohl-Kostolzin,49,Kreditkarte,46.99,4,13.03.2022,11:24:25
Dipl.-Ing. Frederik Schönland MBA.,45,Kreditkarte,39.99,4,13.03.2022,11:44:47
Dipl.-Ing. Ronny Hiller B.Sc.,25,Bar,21.99,1,13.03.2022,11:55:47
Ing. Mareike Cichorius,51,Bar,28.99,3,13.03.2022,12:17:06
Zeki Franke-Junken,60,Kreditkarte,44.99,5,13.03.2022,13:00:03
Stella Harloff,33,EC-Karte,18.99,3,13.03.2022,13:16:19
Victor Sontag,58,Kreditkarte,30.99,7,13.03.2022,14:38:06
Evelyne Thanel B.A.,30,Bar,20.99,1,13.03.2022,14:42:50
Dipl.-Ing. Rosalinde Walter B.A.,50,Bar,44.99,5,13.03.2022,14:47:16
Carolin Trub,56,EC-Karte,39.99,4,13.03.2022,15:02:41
Luise Wagner,48,EC-Karte,38.99,6,13.03.2022,15:08:15
Dipl.-Ing. Heide Drewes B.A.,52,Bar,39.99,4,13.03.2022,15:26:38
Gabi Huhn-Metz,33,EC-Karte,18.99,4,13.03.2022,15:33:31
Uli Scholz,54,Bar,48.99,10,13.03.2022,16:02:22
Dipl.-Ing. Sylvie Linke B.A.,23,EC-Karte,18.99,3,13.03.2022,16:16:56
Zenon Gude-Meister,53,Bar,37.99,5,13.03.2022,16:27:50
Frau Margret Gute B.Eng.,44,EC-Karte,55.99,2,13.03.2022,16:45:00
Dr. Aloisia Lachmann,60,EC-Karte,37.99,5,13.03.2022,17:21:34
Albertine Radisch B.A.,64,EC-Karte,39.99,4,13.03.2022,17:22:31
Zdravko Zorbach,73,EC-Karte,45.99,6,13.03.2022,17:31:09
Ing. Dennis Schulz,47,EC-Karte,38.99,5,13.03.2022,17:44:41
Ralph Dowerg,58,Bar,49.99,7,13.03.2022,18:07:53
Betty Hellwig,52,Bar,34.99,8,13.03.2022,18:10:22
Hellmuth Pergande,53,Bar,34.99,5,13.03.2022,18:41:57
Mato Weimer B.Sc.,61,Bar,33.99,8,13.03.2022,19:58:28
Athanasios Reichmann-Klotz,27,Kreditkarte,24.99,2,14.03.2022,10:14:19
Frau Franziska Zänker,51,Kreditkarte,28.99,6,14.03.2022,10:47:32
Prof. Christin Loos B.A.,30,Kreditkarte,29.99,5,14.03.2022,10:47:54
Valeri Zimmer,58,Bar,46.99,7,14.03.2022,11:09:16
Gretchen Mülichen-Schleich,52,EC-Karte,39.99,2,14.03.2022,11:09:19
Theodora Mude B.Sc.,57,EC-Karte,57.99,5,14.03.2022,11:20:44
Christin Sauer,27,EC-Karte,17.99,4,14.03.2022,11:39:10
Gundel Heinz,60,Kreditkarte,37.99,3,14.03.2022,12:32:38
Adam Schmidtke MBA.,36,Bar,29.99,7,14.03.2022,13:08:28
Prof. Leif Hofmann,61,Kreditkarte,38.99,7,14.03.2022,13:24:57
Klaus-Michael Krebs-Pechel,51,EC-Karte,37.99,7,14.03.2022,14:09:54
Tassilo Finke,70,Kreditkarte,36.99,5,14.03.2022,14:11:29
Kristin Jähn-Hermighausen,54,Kreditkarte,39.99,5,14.03.2022,14:15:44
Ing. Karl-Otto Wiek B.Eng.,47,EC-Karte,40.99,4,14.03.2022,14:29:06
Margit Heidrich,58,Kreditkarte,40.99,2,14.03.2022,15:59:35
Prof. Natalia Stey,33,EC-Karte,26.99,3,14.03.2022,16:11:13
Franz-Peter Wesack,62,EC-Karte,46.99,4,14.03.2022,16:12:22
Bernard Binner,34,EC-Karte,16.99,2,14.03.2022,16:53:25
Guenter Ullrich,64,Kreditkarte,38.99,6,14.03.2022,17:03:03
Valeri Jäkel,32,EC-Karte,23.99,3,14.03.2022,17:07:38
Univ.Prof. Eckhardt Möchlichen B.Sc.,56,Bar,47.99,7,14.03.2022,17:11:35
Donata Thies,50,EC-Karte,56.99,5,14.03.2022,17:49:13
Robby Geisler B.A.,50,Kreditkarte,34.99,5,14.03.2022,18:00:00
Milan Kallert,32,Bar,16.99,2,14.03.2022,18:02:09
Hubertus Birnbaum,70,EC-Karte,40.99,4,14.03.2022,18:09:41
Dr. Elli Jüttner B.Sc.,32,Bar,17.99,1,14.03.2022,18:16:03
Dipl.-Ing. Francesco Schuchhardt,55,EC-Karte,33.99,3,14.03.2022,18:23:47
Meinolf Beier,60,Bar,40.99,3,14.03.2022,19:08:51
Siegmar Schacht,59,EC-Karte,39.99,3,15.03.2022,10:01:26
Danny Mude,31,Bar,15.99,4,15.03.2022,10:19:42
Daniel Vogt B.A.,54,Bar,38.99,5,15.03.2022,10:41:22
Marcel Hornig MBA.,48,Kreditkarte,31.99,3,15.03.2022,11:19:00
Attila Thanel,51,Bar,29.99,2,15.03.2022,11:21:03
Adele Stumpf,30,Kreditkarte,13.99,4,15.03.2022,11:58:10
Bastian Berger,28,EC-Karte,22.99,4,15.03.2022,12:09:29
Univ.Prof. Desiree Albers,51,Kreditkarte,38.99,4,15.03.2022,12:18:54
Univ.Prof. Aleksander Ebert MBA.,53,EC-Karte,28.99,6,15.03.2022,12:31:35
Dr. Pawel Nerger,67,EC-Karte,44.99,6,15.03.2022,12:48:45
Prof. Bela Zobel,54,Kreditkarte,48.99,5,15.03.2022,12:50:51
Utz Steckel-Rudolph,50,EC-Karte,41.99,4,15.03.2022,12:58:19
Gordon Wagenknecht,43,Bar,36.99,6,15.03.2022,13:07:07
Prof. Mariechen Ziegert B.Eng.,67,Bar,49.99,8,15.03.2022,13:35:16
Brunhilde Kranz,57,EC-Karte,45.99,3,15.03.2022,14:04:41
Prof. Klaus-Werner Zobel,29,EC-Karte,19.99,3,15.03.2022,15:03:07
Antonino Ruppert,37,Kreditkarte,27.99,4,15.03.2022,15:29:57
Ali Gnatz,52,Bar,42.99,7,15.03.2022,16:16:48
Gottlob Täsche,59,Bar,52.99,3,15.03.2022,16:42:32
Sükrü Seip,48,Bar,45.99,6,15.03.2022,17:12:32
Carola Stahr,53,Kreditkarte,46.99,4,15.03.2022,17:16:13
Antonina Tröst-Pruschke,57,Bar,42.99,6,15.03.2022,17:50:25
Stanislaus Stahr,28,Kreditkarte,20.99,3,15.03.2022,18:05:16
Elsbeth Anders,67,Bar,38.99,5,15.03.2022,18:21:57
Alwine Hesse,43,Kreditkarte,43.99,6,15.03.2022,18:37:51
Univ.Prof. Gerta Mude MBA.,55,Kreditkarte,44.99,3,15.03.2022,18:57:00
Hendrik Hiller,56,Kreditkarte,56.99,5,15.03.2022,19:55:38
Ernst-Otto Linke,30,Kreditkarte,23.99,3,16.03.2022,10:08:45
Salvatore Holt,50,EC-Karte,43.99,9,16.03.2022,10:09:04
Lukas Hornig MBA.,58,EC-Karte,38.99,5,16.03.2022,10:52:35
Herr Ernst-Otto Weitzel B.A.,60,Kreditkarte,49.99,6,16.03.2022,11:15:29
Sinaida Dippel,51,Kreditkarte,43.99,6,16.03.2022,11:22:26
Nadeshda Cichorius,51,Bar,44.99,3,16.03.2022,12:21:32
Dorle Wirth,62,EC-Karte,37.99,10,16.03.2022,13:13:48
Alicia Junitz B.A.,65,EC-Karte,44.99,6,16.03.2022,13:45:20
Gottfried Ritter B.A.,57,EC-Karte,55.99,3,16.03.2022,14:06:29
Frau Evamaria Heintze B.Sc.,35,Bar,25.99,2,16.03.2022,14:36:07
Waltrud Ackermann,66,EC-Karte,47.99,7,16.03.2022,14:41:51
Edeltraud Bien-Heß,29,EC-Karte,13.99,4,16.03.2022,15:04:10
Natascha Trupp,48,Bar,42.99,7,16.03.2022,15:07:58
Dr. Waltraud Mitschke B.Sc.,61,Kreditkarte,38.99,3,16.03.2022,15:41:39
Elfi Gertz,54,Bar,43.99,6,16.03.2022,15:51:48
Tilmann Junken,58,Kreditkarte,49.99,4,16.03.2022,16:58:23
Prof. Dorothe Ullrich B.Sc.,65,EC-Karte,38.99,5,16.03.2022,17:37:38
Sigfried Stroh,18,Kreditkarte,15.99,4,16.03.2022,17:43:54
Edwin Klingelhöfer,47,EC-Karte,29.99,3,16.03.2022,17:47:45
Dr. Ottomar Hermighausen,59,Bar,39.99,5,16.03.2022,17:52:42
Fredo Pölitz,51,Kreditkarte,46.99,7,16.03.2022,18:10:20
Käthe Köster,57,EC-Karte,37.99,3,16.03.2022,18:11:13
Veli Vollbrecht,31,EC-Karte,17.99,1,16.03.2022,18:21:01
Danielle Heidrich,58,EC-Karte,35.99,6,16.03.2022,18:34:23
Edeltraut Henschel,51,Bar,34.99,5,16.03.2022,18:44:04
Prof. Ekaterina Sauer,63,Kreditkarte,37.99,4,16.03.2022,18:44:54
Dr. Adam Hettner,33,Bar,18.99,2,16.03.2022,18:49:13
Univ.Prof. Mike Vogt B.Eng.,20,Bar,24.99,3,16.03.2022,19:56:16
Gretl Gerlach-Langern,42,Kreditkarte,41.99,3,17.03.2022,10:07:26
Eckhard Krebs-Koch II,63,Kreditkarte,39.99,10,17.03.2022,10:36:17
Univ.Prof. Karl-Hans Heinz,45,EC-Karte,32.99,8,17.03.2022,10:57:36
Rafael Heydrich,60,Kreditkarte,48.99,5,17.03.2022,10:59:14
Dominic Heinrich,65,Kreditkarte,48.99,5,17.03.2022,11:13:01
Detlef Käster B.Eng.,60,Kreditkarte,39.99,4,17.03.2022,11:26:58
Yvette Winkler B.A.,64,Bar,31.99,8,17.03.2022,11:46:45
Maria-Theresia Langern B.Sc.,24,Bar,24.99,2,17.03.2022,11:49:26
Ria Hering,61,Kreditkarte,46.99,6,17.03.2022,12:07:04
Marzena Anders-Thies,26,Bar,26.99,2,17.03.2022,12:44:39
Kata Ackermann-Mälzer,28,Kreditkarte,20.99,2,17.03.2022,13:29:52
Swantje Mälzer-Killer,28,Kreditkarte,14.99,4,17.03.2022,14:09:11
Bruni Zänker MBA.,30,Kreditkarte,25.99,2,17.03.2022,14:39:32
Hildburg Hahn,27,EC-Karte,24.99,2,17.03.2022,14:59:29
Marianna Werner-Jüttner,57,Bar,37.99,3,17.03.2022,15:15:01
Hermann Neureuther,32,EC-Karte,26.99,6,17.03.2022,15:50:55
Else Wilmsen MBA.,55,Kreditkarte,52.99,3,17.03.2022,16:11:51
Dipl.-Ing. Henning Boucsein B.Eng.,32,Kreditkarte,18.99,2,17.03.2022,16:47:42
Prof. Sedat Jessel B.A.,56,EC-Karte,35.99,4,17.03.2022,17:03:07
Ludwig Albers-Staude,55,Kreditkarte,35.99,2,17.03.2022,17:20:42
Mareike Kambs,69,Kreditkarte,46.99,8,17.03.2022,17:58:07
Ing. Harald Riehl B.A.,38,EC-Karte,37.99,5,17.03.2022,18:12:48
Erhardt Kobelt-Sorgatz,61,Bar,44.99,6,17.03.2022,18:23:17
Stefan Jopich B.Eng.,31,EC-Karte,19.99,2,17.03.2022,18:47:36
Herr Silvester Riehl B.Sc.,47,EC-Karte,38.99,4,17.03.2022,18:49:20
Francoise Albers MBA.,55,Bar,47.99,4,17.03.2022,19:15:10
Prof. Marija Bolzmann B.Sc.,51,EC-Karte,27.99,3,17.03.2022,19:50:23
Prof. Kenan Lindner B.Eng.,55,Kreditkarte,46.99,2,18.03.2022,10:06:23
Hubertine Heinz,22,Kreditkarte,19.99,3,18.03.2022,11:12:49
Sibylla Schuster,58,Kreditkarte,32.99,3,18.03.2022,11:15:33
Regina Mangold,27,Kreditkarte,17.99,3,18.03.2022,12:06:30
Kristin Klingelhöfer B.A.,56,Kreditkarte,45.99,7,18.03.2022,12:41:39
Roland Tlustek,50,EC-Karte,35.99,5,18.03.2022,13:44:23
Ilona Klemm,23,EC-Karte,29.99,3,18.03.2022,14:03:05
Univ.Prof. Bettina Henschel,47,Bar,36.99,3,18.03.2022,14:22:39
Frau Amalia Hoffmann B.Sc.,34,EC-Karte,17.99,3,18.03.2022,14:36:01
Ing. Bela Krein,32,EC-Karte,29.99,2,18.03.2022,15:06:20
George Hofmann,27,EC-Karte,25.99,6,18.03.2022,15:06:30
Frederik Ullrich B.Sc.,57,Kreditkarte,51.99,6,18.03.2022,15:14:49
Karin Gertz,50,Kreditkarte,38.99,4,18.03.2022,15:30:52
Erich Pieper,22,Bar,19.99,2,18.03.2022,15:58:17
Dr. Johanna Jäkel MBA.,27,Bar,22.99,5,18.03.2022,16:12:14
Hans-Günther Becker-Hoffmann,53,Kreditkarte,37.99,6,18.03.2022,16:32:36
Elly Schäfer-Winkler,29,Bar,21.99,6,18.03.2022,16:40:04
Dr. Damaris Striebitz,52,EC-Karte,29.99,6,18.03.2022,16:52:55
Dipl.-Ing. Myriam Ackermann MBA.,54,EC-Karte,40.99,3,18.03.2022,16:52:55
Jose Kranz,66,Kreditkarte,44.99,3,18.03.2022,17:45:27
Pauline Hofmann,29,EC-Karte,23.99,2,18.03.2022,17:55:58
Justina Salz,55,EC-Karte,34.99,6,18.03.2022,18:06:42
Slawomir Franke B.Sc.,59,Kreditkarte,36.99,8,18.03.2022,18:10:11
Corinne Ackermann,33,Kreditkarte,21.99,2,18.03.2022,18:20:58
Katrin Hoffmann,60,Bar,32.99,4,18.03.2022,18:34:14
Dipl.-Ing. Ester Etzold,33,EC-Karte,22.99,2,18.03.2022,18:54:33
Guenter Conradi,58,EC-Karte,40.99,3,18.03.2022,18:58:08
Thaddäus Beyer B.Eng.,51,Bar,41.99,6,18.03.2022,19:28:45
Gotthard Schacht B.A.,59,Kreditkarte,31.99,7,19.03.2022,10:04:46
Josef Steinberg,57,Kreditkarte,33.99,3,19.03.2022,10:20:46
Luitgard Wirth-Krause,64,Kreditkarte,44.99,2,19.03.2022,10:37:36
Anatoli Henck,31,EC-Karte,13.99,1,19.03.2022,11:04:36
Prof. Abdullah Schmiedt,59,Kreditkarte,37.99,3,19.03.2022,11:41:43
Gerolf Mohaupt,27,Kreditkarte,17.99,3,19.03.2022,11:48:58
Liesa Heinrich,56,Kreditkarte,44.99,3,19.03.2022,11:54:27
Margarita Rohleder B.Eng.,28,Bar,23.99,2,19.03.2022,12:01:55
Zlatko Biggen B.A.,51,Kreditkarte,41.99,6,19.03.2022,12:09:21
Mia Rosemann-Häring,39,Bar,25.99,1,19.03.2022,12:19:27
Herr Anthony Peukert,61,Kreditkarte,28.99,4,19.03.2022,12:34:11
Giuseppina Carsten,22,Bar,18.99,3,19.03.2022,12:36:24
Silvia Wulf,33,Kreditkarte,16.99,4,19.03.2022,13:55:49
Lene Knappe,27,Bar,17.99,4,19.03.2022,14:21:01
Ing. Inge Eberhardt MBA.,63,Kreditkarte,35.99,5,19.03.2022,14:49:40
Univ.Prof. Erwin Rudolph B.Eng.,58,EC-Karte,38.99,8,19.03.2022,15:00:52
Dipl.-Ing. Mariechen Wende,58,EC-Karte,33.99,4,19.03.2022,15:14:05
Dragan Scheel,27,EC-Karte,17.99,2,19.03.2022,15:37:02
Dietmar Anders,53,Bar,38.99,4,19.03.2022,15:55:14
Christiane Ditschlerin B.Sc.,64,EC-Karte,39.99,5,19.03.2022,17:23:11
Ing. Pavel Steinberg,34,Kreditkarte,28.99,3,19.03.2022,17:42:52
Frau Urszula Jähn B.Eng.,23,Bar,18.99,2,19.03.2022,18:10:08
Ing. Hertha Jacob MBA.,54,Bar,49.99,3,19.03.2022,18:20:17
Alois Löffler,35,Bar,18.99,3,19.03.2022,18:26:33
Lutz Grein Groth,56,EC-Karte,36.99,3,19.03.2022,18:38:18
Natali Wende,58,Kreditkarte,46.99,3,19.03.2022,19:19:20
Hilma Butte,59,EC-Karte,44.99,7,19.03.2022,19:22:30
Osman Langern,60,Kreditkarte,45.99,4,20.03.2022,10:27:43
Ing. Leyla Kaul B.Sc.,33,Bar,14.99,6,20.03.2022,10:27:46
Prof. Elfriede Dobes,41,EC-Karte,40.99,6,20.03.2022,10:39:02
Kazim Weiß MBA.,46,Bar,43.99,4,20.03.2022,10:46:56
Gerwin Reuter,69,EC-Karte,42.99,2,20.03.2022,11:13:15
Salvatore Kambs,52,Bar,55.99,3,20.03.2022,11:26:30
Dr. Gordana Zimmer,32,EC-Karte,19.99,5,20.03.2022,11:43:14
